No.,Pos.,Player,Date of birth (age),Caps,Goals,Club,Country
1,GK,Hugo Lloris,26 December 1986 (aged 29),75,0,Tottenham Hotspur,France
2,DF,Christophe Jallet,31 October 1983 (aged 32),11,1,Lyon,France
3,DF,Patrice Evra,15 May 1981 (aged 35),73,0,Juventus,France
4,DF,Adil Rami,27 December 1985 (aged 30),28,1,Sevilla,France
5,MF,N'Golo Kanté,29 March 1991 (aged 25),4,1,Leicester City,France
6,MF,Yohan Cabaye,14 January 1986 (aged 30),46,4,Crystal Palace,France
7,FW,Antoine Griezmann,21 March 1991 (aged 25),27,7,Atlético Madrid,France
8,MF,Dimitri Payet,29 March 1987 (aged 29),19,3,West Ham United,France
9,FW,Olivier Giroud,30 September 1986 (aged 29),49,17,Arsenal,France
10,FW,André-Pierre Gignac,5 December 1985 (aged 30),27,7,UANL,France
11,FW,Anthony Martial,5 December 1995 (aged 20),9,0,Manchester United,France
12,MF,Morgan Schneiderlin,8 November 1989 (aged 26),15,0,Manchester United,France
13,DF,Eliaquim Mangala,13 February 1991 (aged 25),7,0,Manchester City,France
14,MF,Blaise Matuidi,9 April 1987 (aged 29),44,8,Paris Saint-Germain,France
15,MF,Paul Pogba,15 March 1993 (aged 23),31,5,Juventus,France
16,GK,Steve Mandanda,28 March 1985 (aged 31),22,0,Marseille,France
17,DF,Lucas Digne,20 July 1993 (aged 22),13,0,Roma,France
18,MF,Moussa Sissoko,16 August 1989 (aged 26),38,1,Newcastle United,France
19,DF,Bacary Sagna,14 February 1983 (aged 33),57,0,Manchester City,France
20,FW,Kingsley Coman,13 June 1996 (aged 19),5,1,Bayern Munich,France
21,DF,Laurent Koscielny,10 September 1985 (aged 30),29,1,Arsenal,France
22,DF,Samuel Umtiti,14 November 1993 (aged 22),0,0,Lyon,France
23,GK,Benoît Costil,3 July 1987 (aged 28),0,0,Rennes,France
1,GK,Costel Pantilimon,1 February 1987 (aged 29),22,0,Watford,Romania
2,DF,Alexandru Mățel,17 October 1989 (aged 26),16,0,Dinamo Zagreb,Romania
3,DF,Răzvan Raț,26 May 1981 (aged 35),111,2,Rayo Vallecano,Romania
4,DF,Cosmin Moți,3 December 1984 (aged 31),8,0,Ludogorets Razgrad,Romania
5,MF,Ovidiu Hoban,27 December 1982 (aged 33),20,1,Hapoel Be'er Sheva,Romania
6,DF,Vlad Chiricheș,14 November 1989 (aged 26),40,0,Napoli,Romania
7,MF,Alexandru Chipciu,18 May 1989 (aged 27),21,3,Steaua București,Romania
8,MF,Mihai Pintilii,9 November 1984 (aged 31),31,1,Steaua București,Romania
9,FW,Denis Alibec,5 January 1991 (aged 25),4,1,Astra Giurgiu,Romania
10,MF,Nicolae Stanciu,7 May 1993 (aged 23),5,4,Steaua București,Romania
11,MF,Gabriel Torje,22 November 1989 (aged 26),50,11,Osmanlıspor,Romania
12,GK,Ciprian Tătărușanu,9 February 1986 (aged 30),36,0,Fiorentina,Romania
13,FW,Claudiu Keșerü,2 December 1986 (aged 29),13,5,Ludogorets Razgrad,Romania
14,FW,Florin Andone,11 April 1993 (aged 23),6,1,Córdoba,Romania
15,DF,Valerică Găman,25 February 1989 (aged 27),13,1,Astra Giurgiu,Romania
16,DF,Steliano Filip,15 May 1994 (aged 22),4,0,Dinamo București,Romania
17,MF,Lucian Sânmărtean,13 March 1980 (aged 36),20,0,Al-Ittihad,Romania
18,MF,Andrei Prepeliță,8 December 1985 (aged 30),10,0,Ludogorets Razgrad,Romania
19,FW,Bogdan Stancu,28 June 1987 (aged 28),40,9,Gençlerbirliği,Romania
