No.,Pos.,Player,Date of birth (age),Caps,Goals,Club,Country
20,MF,Adrian Popa,24 July 1988 (aged 27),14,1,Steaua București,Romania
21,DF,Dragoș Grigore,7 September 1986 (aged 29),20,0,Al-Sailiya,Romania
22,DF,Cristian Săpunaru,5 April 1984 (aged 32),13,0,Pandurii Târgu Jiu,Romania
23,GK,Silviu Lung Jr.,4 June 1989 (aged 27),3,0,Astra Giurgiu,Romania
1,GK,Etrit Berisha,10 March 1989 (aged 27),35,0,Lazio,Albania
2,DF,Andi Lila,12 February 1986 (aged 30),58,0,PAS Giannina,Albania
3,MF,Ermir Lenjani,5 August 1989 (aged 26),19,3,Nantes,Albania
4,DF,Elseid Hysaj,20 February 1994 (aged 22),20,0,Napoli,Albania
5,DF,Lorik Cana,27 June 1983 (aged 32),91,1,Nantes,Albania
6,DF,Frédéric Veseli,20 November 1992 (aged 23),3,0,Lugano,Albania
7,DF,Ansi Agolli,11 November 1982 (aged 33),61,2,Qarabağ,Albania
8,MF,Migjen Basha,5 January 1987 (aged 29),19,3,Como,Albania
9,MF,Ledian Memushaj,7 December 1986 (aged 29),14,0,Pescara,Albania
10,FW,Armando Sadiku,27 May 1991 (aged 25),20,5,Vaduz,Albania
11,FW,Shkëlzen Gashi,15 July 1988 (aged 27),14,1,Colorado Rapids,Albania
12,GK,Orges Shehi,25 September 1977 (aged 38),7,0,Skënderbeu Korçë,Albania
13,MF,Burim Kukeli,16 January 1984 (aged 32),15,0,Zürich,Albania
14,MF,Taulant Xhaka,28 March 1991 (aged 25),12,0,Basel,Albania
15,DF,Mërgim Mavraj,9 June 1986 (aged 30),26,3,1. FC Köln,Albania
16,FW,Sokol Cikalleshi,27 July 1990 (aged 25),19,2,İstanbul Başakşehir,Albania
17,DF,Naser Aliji,27 December 1993 (aged 22),5,0,Basel,Albania
18,DF,Arlind Ajeti,25 September 1993 (aged 22),10,1,Frosinone,Albania
19,FW,Bekim Balaj,11 January 1991 (aged 25),15,1,Rijeka,Albania
20,MF,Ergys Kaçe,8 July 1993 (aged 22),16,2,PAOK,Albania
21,MF,Odise Roshi,21 May 1991 (aged 25),32,1,Rijeka,Albania
22,MF,Amir Abrashi,27 March 1990 (aged 26),18,0,SC Freiburg,Albania
23,GK,Alban Hoxha,23 November 1987 (aged 28),1,0,Partizani,Albania
1,GK,Yann Sommer,7 December 1988 (aged 27),18,0,Borussia Mönchengladbach,Switzerland
2,DF,Stephan Lichtsteiner,16 January 1984 (aged 32),81,5,Juventus,Switzerland
3,DF,François Moubandje,21 June 1990 (aged 25),11,0,Toulouse,Switzerland
4,DF,Nico Elvedi,30 September 1996 (aged 19),1,0,Borussia Mönchengladbach,Switzerland
5,DF,Steve von Bergen,10 June 1983 (aged 33),50,0,Young Boys,Switzerland
6,DF,Michael Lang,8 February 1991 (aged 25),17,2,Basel,Switzerland
7,FW,Breel Embolo,14 February 1997 (aged 19),10,1,Basel,Switzerland
8,MF,Fabian Frei,8 January 1989 (aged 27),8,1,Mainz 05,Switzerland
9,FW,Haris Seferovic,22 February 1992 (aged 24),30,7,Eintracht Frankfurt,Switzerland
10,MF,Granit Xhaka,27 September 1992 (aged 23),43,6,Borussia Mönchengladbach,Switzerland
11,MF,Valon Behrami,19 April 1985 (aged 31),66,2,Watford,Switzerland
12,GK,Marwin Hitz,18 September 1987 (aged 28),2,0,FC Augsburg,Switzerland
13,DF,Ricardo Rodríguez,25 August 1992 (aged 23),37,0,VfL Wolfsburg,Switzerland
14,MF,Denis Zakaria,20 November 1996 (aged 19),2,0,Young Boys,Switzerland
15,MF,Blerim Džemaili,12 April 1986 (aged 30),48,6,Genoa,Switzerland
16,MF,Gelson Fernandes,2 September 1986 (aged 29),56,2,Rennes,Switzerland
17,FW,Shani Tarashaj,7 February 1995 (aged 21),4,0,Grasshopper,Switzerland
18,FW,Admir Mehmedi,16 March 1991 (aged 25),42,4,Bayer Leverkusen,Switzerland
19,FW,Eren Derdiyok,12 June 1988 (aged 27),52,10,Kasımpaşa,Switzerland
20,DF,Johan Djourou,18 January 1987 (aged 29),60,2,Hamburger SV,Switzerland
21,GK,Roman Bürki,14 November 1990 (aged 25),5,0,Borussia Dortmund,Switzerland
22,DF,Fabian Schär,20 December 1991 (aged 24),20,5,1899 Hoffenheim,Switzerland
23,MF,Xherdan Shaqiri,10 October 1991 (aged 24),53,17,Stoke City,Switzerland
1,GK,Joe Hart,19 April 1987 (aged 29),59,0,Manchester City,England
2,DF,Kyle Walker,28 May 1990 (aged 26),16,0,Tottenham Hotspur,England
3,DF,Danny Rose,2 July 1990 (aged 25),4,0,Tottenham Hotspur,England
4,MF,James Milner,4 January 1986 (aged 30),60,1,Liverpool,England
5,DF,Gary Cahill,19 December 1985 (aged 30),43,3,Chelsea,England
6,DF,Chris Smalling,22 November 1989 (aged 26),25,1,Manchester United,England
7,MF,Raheem Sterling,8 December 1994 (aged 21),23,2,Manchester City,England
8,MF,Adam Lallana,10 May 1988 (aged 28),23,0,Liverpool,England
9,FW,Harry Kane,28 July 1993 (aged 22),12,5,Tottenham Hotspur,England
10,FW,Wayne Rooney,24 October 1985 (aged 30),111,52,Manchester United,England
11,FW,Jamie Vardy,11 January 1987 (aged 29),8,3,Leicester City,England
12,DF,Nathaniel Clyne,5 April 1991 (aged 25),12,0,Liverpool,England
13,GK,Fraser Forster,17 March 1988 (aged 28),6,0,Southampton,England
14,MF,Jordan Henderson,17 June 1990 (aged 25),26,0,Liverpool,England
15,FW,Daniel Sturridge,1 September 1989 (aged 26),18,5,Liverpool,England
16,DF,John Stones,28 May 1994 (aged 22),10,0,Everton,England
17,MF,Eric Dier,15 January 1994 (aged 22),7,1,Tottenham Hotspur,England
18,MF,Jack Wilshere,1 January 1992 (aged 24),31,2,Arsenal,England
19,MF,Ross Barkley,5 December 1993 (aged 22),22,2,Everton,England
20,MF,Dele Alli,11 April 1996 (aged 20),8,1,Tottenham Hotspur,England
21,DF,Ryan Bertrand,5 August 1989 (aged 26),8,0,Southampton,England
22,FW,Marcus Rashford,31 October 1997 (aged 18),1,1,Manchester United,England
23,GK,Tom Heaton,15 April 1986 (aged 30),1,0,Burnley,England
1,GK,Igor Akinfeev,8 April 1986 (aged 30),86,0,CSKA Moscow,Russia
2,DF,Roman Shishkin,27 January 1987 (aged 29),10,0,Lokomotiv Moscow,Russia
3,DF,Igor Smolnikov,8 August 1988 (aged 27),12,0,Zenit Saint Petersburg,Russia
4,DF,Sergei Ignashevich,14 July 1979 (aged 36),115,8,CSKA Moscow,Russia
5,DF,Roman Neustädter,18 February 1988 (aged 28),1,0,Schalke 04,Russia
6,DF,Aleksei Berezutski,20 June 1982 (aged 33),57,0,CSKA Moscow,Russia
7,MF,Artur Yusupov,1 September 1989 (aged 26),2,0,Zenit Saint Petersburg,Russia
8,MF,Denis Glushakov,27 January 1987 (aged 29),42,4,Spartak Moscow,Russia
9,FW,Aleksandr Kokorin,19 March 1991 (aged 25),37,11,Zenit Saint Petersburg,Russia
10,FW,Fyodor Smolov,5 February 1990 (aged 26),12,5,Krasnodar,Russia
11,MF,Pavel Mamayev,17 September 1988 (aged 27),10,0,Krasnodar,Russia
12,GK,Yuri Lodygin,26 May 1990 (aged 26),10,0,Zenit Saint Petersburg,Russia
13,MF,Aleksandr Golovin,30 May 1996 (aged 20),3,2,CSKA Moscow,Russia
14,DF,Vasili Berezutski,20 June 1982 (aged 33),93,4,CSKA Moscow,Russia
15,MF,Roman Shirokov,6 July 1981 (aged 34),53,13,CSKA Moscow,Russia
16,GK,Guilherme Marinato,12 December 1985 (aged 30),1,0,Lokomotiv Moscow,Russia
17,MF,Oleg Shatov,29 June 1990 (aged 25),21,2,Zenit Saint Petersburg,Russia
18,MF,Oleg Ivanov,4 August 1986 (aged 29),3,0,Terek Grozny,Russia
19,MF,Aleksandr Samedov,19 July 1984 (aged 31),28,3,Lokomotiv Moscow,Russia
20,MF,Dmitri Torbinski,28 April 1984 (aged 32),28,2,Krasnodar,Russia
21,DF,Georgi Shchennikov,27 April 1991 (aged 25),7,0,CSKA Moscow,Russia
22,FW,Artem Dzyuba,22 August 1988 (aged 27),16,8,Zenit Saint Petersburg,Russia
23,DF,Dmitri Kombarov,22 January 1987 (aged 29),38,2,Spartak Moscow,Russia
1,GK,Wayne Hennessey,24 January 1987 (aged 29),57,0,Crystal Palace,Wales
2,DF,Chris Gunter,21 July 1989 (aged 26),67,0,Reading,Wales
3,DF,Neil Taylor,7 February 1989 (aged 27),28,0,Swansea City,Wales
4,DF,Ben Davies,24 April 1993 (aged 23),20,0,Tottenham Hotspur,Wales
5,DF,James Chester,23 January 1989 (aged 27),11,0,West Bromwich Albion,Wales
6,DF,Ashley Williams,23 August 1984 (aged 31),59,1,Swansea City,Wales
7,MF,Joe Allen,14 March 1990 (aged 26),25,0,Liverpool,Wales
8,MF,Andy King,29 October 1988 (aged 27),33,2,Leicester City,Wales
9,FW,Hal Robson-Kanu,21 May 1989 (aged 27),30,2,Reading,Wales
10,MF,Aaron Ramsey,26 December 1990 (aged 25),39,10,Arsenal,Wales
11,FW,Gareth Bale,16 July 1989 (aged 26),55,19,Real Madrid,Wales
12,GK,Owain Fôn Williams,17 March 1987 (aged 29),1,0,Inverness Caledonian Thistle,Wales
13,FW,George Williams,7 September 1995 (aged 20),7,0,Gillingham,Wales
14,MF,David Edwards,3 February 1986 (aged 30),32,3,Wolverhampton Wanderers,Wales
15,DF,Jazz Richards,12 April 1991 (aged 25),9,0,Fulham,Wales
16,MF,Joe Ledley,23 January 1987 (aged 29),61,4,Crystal Palace,Wales
17,FW,David Cotterill,4 December 1987 (aged 28),23,2,Birmingham City,Wales
18,FW,Sam Vokes,21 October 1989 (aged 26),40,6,Burnley,Wales
19,DF,James Collins,23 August 1983 (aged 32),47,3,West Ham United,Wales
20,MF,Jonny Williams,9 October 1993 (aged 22),12,0,Milton Keynes Dons,Wales
21,GK,Danny Ward,22 June 1993 (aged 22),2,0,Liverpool,Wales
22,MF,David Vaughan,18 February 1983 (aged 33),42,1,Nottingham Forest,Wales
23,FW,Simon Church,10 December 1988 (aged 27),36,3,Aberdeen,Wales
1,GK,Ján Mucha,5 December 1982 (aged 33),46,0,Slovan Bratislava,Slovakia
2,DF,Peter Pekarík,30 October 1986 (aged 29),67,2,Hertha BSC,Slovakia
3,DF,Martin Škrtel,15 December 1984 (aged 31),81,5,Liverpool,Slovakia
4,DF,Ján Ďurica,10 December 1981 (aged 34),79,4,Lokomotiv Moscow,Slovakia
5,DF,Norbert Gyömbér,3 July 1992 (aged 23),13,0,Roma,Slovakia
6,MF,Ján Greguš,29 January 1991 (aged 25),7,0,Baumit Jablonec,Slovakia
7,MF,Vladimír Weiss,30 November 1989 (aged 26),52,4,Al-Gharafa,Slovakia
8,MF,Ondrej Duda,5 December 1994 (aged 21),11,1,Legia Warsaw,Slovakia
9,FW,Stanislav Šesták,16 December 1982 (aged 33),65,13,Ferencváros,Slovakia
10,MF,Miroslav Stoch,19 October 1989 (aged 26),54,6,Bursaspor,Slovakia
11,FW,Adam Nemec,2 September 1985 (aged 30),22,6,Willem II,Slovakia
12,GK,Ján Novota,29 November 1983 (aged 32),3,0,Rapid Wien,Slovakia
13,MF,Patrik Hrošovský,22 April 1992 (aged 24),12,0,Viktoria Plzeň,Slovakia
14,DF,Milan Škriniar,11 February 1995 (aged 21),2,0,Sampdoria,Slovakia
15,DF,Tomáš Hubočan,17 September 1985 (aged 30),44,0,Dynamo Moscow,Slovakia
16,DF,Kornel Saláta,24 January 1985 (aged 31),37,2,Slovan Bratislava,Slovakia
17,MF,Marek Hamšík,27 July 1987 (aged 28),87,18,Napoli,Slovakia
18,DF,Dušan Švento,1 August 1985 (aged 30),39,1,1. FC Köln,Slovakia
19,MF,Juraj Kucka,26 February 1987 (aged 29),47,5,Milan,Slovakia
20,MF,Róbert Mak,8 March 1991 (aged 25),27,7,PAOK,Slovakia
21,FW,Michal Ďuriš,1 June 1988 (aged 28),26,4,Viktoria Plzeň,Slovakia
22,MF,Viktor Pečovský,24 May 1983 (aged 33),32,1,Žilina,Slovakia
23,GK,Matúš Kozáčik,27 December 1983 (aged 32),17,0,Viktoria Plzeň,Slovakia
1,GK,Manuel Neuer,27 March 1986 (aged 30),65,0,Bayern Munich,Germany
2,DF,Shkodran Mustafi,17 April 1992 (aged 24),10,0,Valencia,Germany
3,DF,Jonas Hector,27 May 1990 (aged 26),14,1,1. FC Köln,Germany
4,DF,Benedikt Höwedes,29 February 1988 (aged 28),34,2,Schalke 04,Germany
5,DF,Mats Hummels,16 December 1988 (aged 27),46,4,Borussia Dortmund,Germany
6,MF,Sami Khedira,4 April 1987 (aged 29),60,5,Juventus,Germany
7,MF,Bastian Schweinsteiger,1 August 1984 (aged 31),115,23,Manchester United,Germany
8,MF,Mesut Özil,15 October 1988 (aged 27),73,19,Arsenal,Germany
9,MF,André Schürrle,6 November 1990 (aged 25),52,20,VfL Wolfsburg,Germany
10,FW,Lukas Podolski,4 June 1985 (aged 31),128,48,Galatasaray,Germany
11,MF,Julian Draxler,20 September 1993 (aged 22),19,1,VfL Wolfsburg,Germany
12,GK,Bernd Leno,4 March 1992 (aged 24),1,0,Bayer Leverkusen,Germany
13,FW,Thomas Müller,13 September 1989 (aged 26),71,32,Bayern Munich,Germany
14,MF,Emre Can,12 January 1994 (aged 22),6,0,Liverpool,Germany
15,MF,Julian Weigl,8 September 1995 (aged 20),1,0,Borussia Dortmund,Germany
16,DF,Jonathan Tah,11 February 1996 (aged 20),1,0,Bayer Leverkusen,Germany
17,DF,Jérôme Boateng,3 September 1988 (aged 27),59,0,Bayern Munich,Germany
18,MF,Toni Kroos,4 January 1990 (aged 26),65,11,Real Madrid,Germany
19,MF,Mario Götze,3 June 1992 (aged 24),52,17,Bayern Munich,Germany
20,MF,Leroy Sané,11 January 1996 (aged 20),3,0,Schalke 04,Germany
21,DF,Joshua Kimmich,8 February 1995 (aged 21),1,0,Bayern Munich,Germany
22,GK,Marc-André ter Stegen,30 April 1992 (aged 24),6,0,Barcelona,Germany
23,FW,Mario Gómez,10 July 1985 (aged 30),64,27,Beşiktaş,Germany
1,GK,Denys Boyko,29 January 1988 (aged 28),4,0,Beşiktaş,Ukraine
2,DF,Bohdan Butko,13 January 1991 (aged 25),17,0,Amkar Perm,Ukraine
3,DF,Yevhen Khacheridi,28 July 1987 (aged 28),42,3,Dynamo Kyiv,Ukraine
4,MF,Anatoliy Tymoshchuk,30 March 1979 (aged 37),143,4,Kairat Almaty,Ukraine
5,DF,Oleksandr Kucher,22 October 1982 (aged 33),50,2,Shakhtar Donetsk,Ukraine
6,MF,Taras Stepanenko,8 August 1989 (aged 26),29,3,Shakhtar Donetsk,Ukraine
7,FW,Andriy Yarmolenko,23 October 1989 (aged 26),59,25,Dynamo Kyiv,Ukraine
8,FW,Roman Zozulya,17 November 1989 (aged 26),26,4,Dnipro Dnipropetrovsk,Ukraine
9,MF,Viktor Kovalenko,14 February 1996 (aged 20),3,0,Shakhtar Donetsk,Ukraine
10,MF,Yevhen Konoplyanka,29 September 1989 (aged 26),53,13,Sevilla,Ukraine
11,FW,Yevhen Seleznyov,20 July 1985 (aged 30),50,11,Kuban Krasnodar,Ukraine
12,GK,Andriy Pyatov,28 June 1984 (aged 31),64,0,Shakhtar Donetsk,Ukraine
13,DF,Vyacheslav Shevchuk,13 May 1979 (aged 37),54,0,Shakhtar Donetsk,Ukraine
14,MF,Ruslan Rotan,29 October 1981 (aged 34),88,7,Dnipro Dnipropetrovsk,Ukraine
15,FW,Pylyp Budkivskyi,10 March 1992 (aged 24),6,0,Zorya Luhansk,Ukraine
16,MF,Serhiy Sydorchuk,2 May 1991 (aged 25),12,2,Dynamo Kyiv,Ukraine
17,DF,Artem Fedetskyi,26 April 1985 (aged 31),49,2,Dnipro Dnipropetrovsk,Ukraine
18,MF,Serhiy Rybalka,1 April 1990 (aged 26),9,0,Dynamo Kyiv,Ukraine
19,MF,Denys Harmash,19 April 1990 (aged 26),27,2,Dynamo Kyiv,Ukraine
20,DF,Yaroslav Rakitskiy,3 August 1989 (aged 26),40,4,Shakhtar Donetsk,Ukraine
21,DF,Oleksandr Zinchenko,15 December 1996 (aged 19),3,1,Ufa,Ukraine
22,MF,Oleksandr Karavayev,2 June 1992 (aged 24),3,0,Zorya Luhansk,Ukraine
23,GK,Mykyta Shevchenko,26 January 1993 (aged 23),0,0,Zorya Luhansk,Ukraine
1,GK,Wojciech Szczęsny,18 April 1990 (aged 26),26,0,Roma,Poland
2,DF,Michał Pazdan,21 September 1987 (aged 28),17,0,Legia Warsaw,Poland
3,DF,Artur Jędrzejczyk,4 November 1987 (aged 28),19,3,Legia Warsaw,Poland
4,DF,Thiago Cionek,21 April 1986 (aged 30),6,0,Palermo,Poland
5,MF,Krzysztof Mączyński,23 May 1987 (aged 29),16,1,Wisła Kraków,Poland
6,MF,Tomasz Jodłowiec,8 September 1985 (aged 30),44,1,Legia Warsaw,Poland
7,FW,Arkadiusz Milik,28 February 1994 (aged 22),26,10,Ajax,Poland
8,MF,Karol Linetty,2 February 1995 (aged 21),10,1,Lech Poznań,Poland
9,FW,Robert Lewandowski,21 August 1988 (aged 27),76,34,Bayern Munich,Poland
10,MF,Grzegorz Krychowiak,29 January 1990 (aged 26),34,2,Sevilla,Poland
11,MF,Kamil Grosicki,8 June 1988 (aged 28),39,8,Rennes,Poland
12,GK,Artur Boruc,20 February 1980 (aged 36),63,0,Bournemouth,Poland
13,FW,Mariusz Stępiński,12 May 1995 (aged 21),3,0,Ruch Chorzów,Poland
14,DF,Jakub Wawrzyniak,7 July 1983 (aged 32),49,1,Lechia Gdańsk,Poland
15,DF,Kamil Glik,3 February 1988 (aged 28),41,3,Torino,Poland
16,MF,Jakub Błaszczykowski,14 December 1985 (aged 30),79,16,Fiorentina,Poland
17,MF,Sławomir Peszko,19 February 1985 (aged 31),37,2,Lechia Gdańsk,Poland
18,DF,Bartosz Salamon,1 May 1991 (aged 25),8,0,Cagliari,Poland
19,MF,Piotr Zieliński,20 May 1994 (aged 22),15,3,Empoli,Poland
20,DF,Łukasz Piszczek,3 June 1985 (aged 31),46,2,Borussia Dortmund,Poland
21,MF,Bartosz Kapustka,23 December 1996 (aged 19),7,2,Cracovia,Poland
22,GK,Łukasz Fabiański,18 April 1985 (aged 31),30,0,Swansea City,Poland
23,MF,Filip Starzyński,27 May 1991 (aged 25),3,1,Zagłębie Lubin,Poland
1,GK,Michael McGovern,12 July 1984 (aged 31),11,0,Hamilton Academical,Northern Ireland
2,DF,Conor McLaughlin,26 July 1991 (aged 24),18,0,Fleetwood Town,Northern Ireland
3,MF,Shane Ferguson,12 July 1991 (aged 24),25,1,Millwall,Northern Ireland
4,DF,Gareth McAuley,5 December 1979 (aged 36),61,7,West Bromwich Albion,Northern Ireland
5,DF,Jonny Evans,3 January 1988 (aged 28),49,1,West Bromwich Albion,Northern Ireland
6,DF,Chris Baird,25 February 1982 (aged 34),78,0,Fulham,Northern Ireland
7,MF,Niall McGinn,20 July 1987 (aged 28),42,2,Aberdeen,Northern Ireland
8,MF,Steven Davis,1 January 1985 (aged 31),83,8,Southampton,Northern Ireland
9,FW,Will Grigg,3 July 1991 (aged 24),8,1,Wigan Athletic,Northern Ireland
10,FW,Kyle Lafferty,16 September 1987 (aged 28),51,17,Birmingham City,Northern Ireland
11,FW,Conor Washington,18 May 1992 (aged 24),4,2,Queens Park Rangers,Northern Ireland
12,GK,Roy Carroll,30 September 1977 (aged 38),44,0,Notts County,Northern Ireland
13,MF,Corry Evans,30 July 1990 (aged 25),34,1,Blackburn Rovers,Northern Ireland
14,MF,Stuart Dallas,19 April 1991 (aged 25),13,1,Leeds United,Northern Ireland
15,DF,Luke McCullough,15 February 1994 (aged 22),5,0,Doncaster Rovers,Northern Ireland
16,MF,Oliver Norwood,12 April 1991 (aged 25),34,0,Reading,Northern Ireland
17,DF,Paddy McNair,27 April 1995 (aged 21),9,0,Manchester United,Northern Ireland
18,DF,Aaron Hughes,8 November 1979 (aged 36),100,1,Melbourne City,Northern Ireland
19,MF,Jamie Ward,12 May 1986 (aged 30),22,2,Nottingham Forest,Northern Ireland
20,DF,Craig Cathcart,6 February 1989 (aged 27),28,2,Watford,Northern Ireland
21,FW,Josh Magennis,15 August 1990 (aged 25),19,1,Kilmarnock,Northern Ireland
22,DF,Lee Hodson,2 October 1991 (aged 24),16,0,Milton Keynes Dons,Northern Ireland
23,GK,Alan Mannus,19 May 1982 (aged 34),8,0,St Johnstone,Northern Ireland
1,GK,Iker Casillas,20 May 1981 (aged 35),167,0,Porto,Spain
2,DF,César Azpilicueta,28 August 1989 (aged 26),15,0,Chelsea,Spain
3,DF,Gerard Piqué,2 February 1987 (aged 29),77,4,Barcelona,Spain
4,DF,Marc Bartra,15 January 1991 (aged 25),10,0,Barcelona,Spain
5,MF,Sergio Busquets,16 July 1988 (aged 27),84,2,Barcelona,Spain
6,MF,Andrés Iniesta,11 May 1984 (aged 32),109,13,Barcelona,Spain
7,FW,Álvaro Morata,23 October 1992 (aged 23),9,3,Juventus,Spain
8,MF,Koke,8 January 1992 (aged 24),23,0,Atlético Madrid,Spain
9,FW,Lucas Vázquez,1 July 1991 (aged 24),1,0,Real Madrid,Spain
10,MF,Cesc Fàbregas,4 May 1987 (aged 29),106,15,Chelsea,Spain
11,FW,Pedro,28 July 1987 (aged 28),58,17,Chelsea,Spain
12,DF,Héctor Bellerín,19 March 1995 (aged 21),3,0,Arsenal,Spain
13,GK,David de Gea,7 November 1990 (aged 25),9,0,Manchester United,Spain
14,MF,Thiago,11 April 1991 (aged 25),10,0,Bayern Munich,Spain
15,DF,Sergio Ramos,30 March 1986 (aged 30),132,10,Real Madrid,Spain
16,DF,Juanfran,9 January 1985 (aged 31),18,0,Atlético Madrid,Spain
17,DF,Mikel San José,30 May 1989 (aged 27),7,0,Athletic Bilbao,Spain
18,DF,Jordi Alba,21 March 1989 (aged 27),43,6,Barcelona,Spain
19,MF,Bruno Soriano,12 June 1984 (aged 31),8,0,Villarreal,Spain
20,FW,Aritz Aduriz,11 February 1981 (aged 35),6,1,Athletic Bilbao,Spain
21,MF,David Silva,8 January 1986 (aged 30),99,24,Manchester City,Spain
22,FW,Nolito,15 October 1986 (aged 29),9,4,Celta Vigo,Spain
23,GK,Sergio Rico,1 September 1993 (aged 22),1,0,Sevilla,Spain
1,GK,Petr Čech,20 May 1982 (aged 34),121,0,Arsenal,Czech Republic
2,DF,Pavel Kadeřábek,25 April 1992 (aged 24),18,2,1899 Hoffenheim,Czech Republic
3,DF,Michal Kadlec,13 December 1984 (aged 31),65,8,Fenerbahçe,Czech Republic
4,DF,Theodor Gebre Selassie,24 December 1986 (aged 29),36,1,Werder Bremen,Czech Republic
5,DF,Roman Hubník,6 June 1984 (aged 32),26,3,Viktoria Plzeň,Czech Republic
6,DF,Tomáš Sivok,15 September 1983 (aged 32),55,5,Bursaspor,Czech Republic
7,FW,Tomáš Necid,13 August 1989 (aged 26),39,11,Bursaspor,Czech Republic
8,DF,David Limberský,6 October 1983 (aged 32),38,1,Viktoria Plzeň,Czech Republic
9,MF,Bořek Dočkal,30 September 1988 (aged 27),24,6,Sparta Prague,Czech Republic
10,MF,Tomáš Rosický,4 October 1980 (aged 35),103,23,Arsenal,Czech Republic
11,MF,Daniel Pudil,27 September 1985 (aged 30),32,2,Sheffield Wednesday,Czech Republic
12,FW,Milan Škoda,16 January 1986 (aged 30),9,3,Slavia Prague,Czech Republic
13,MF,Jaroslav Plašil,5 January 1982 (aged 34),100,7,Bordeaux,Czech Republic
14,MF,Daniel Kolář,27 October 1985 (aged 30),28,2,Viktoria Plzeň,Czech Republic
15,MF,David Pavelka,18 May 1991 (aged 25),8,0,Kasımpaşa,Czech Republic
16,GK,Tomáš Vaclík,29 March 1989 (aged 27),6,0,Basel,Czech Republic
17,DF,Marek Suchý,29 March 1988 (aged 28),27,1,Basel,Czech Republic
18,MF,Josef Šural,30 May 1990 (aged 26),11,1,Sparta Prague,Czech Republic
19,MF,Ladislav Krejčí,5 July 1992 (aged 23),23,4,Sparta Prague,Czech Republic
