team1;team2;group;team1_goals;team2_goals;team1_market_value_distance;team2_market_value_distance
Italy;Wales;A;1;0;0.4627828808535862;-0.4627828808535862
Denmark;Finland;B;0;1;0.24628379371665676;-0.24628379371665676
Belgium;Russia;B;3;0;0.44662567871962067;-0.44662567871962067
Finland;Russia;B;0;1;-0.15083670420865442;0.15083670420865442
Denmark;Belgium;B;1;2;-0.3511785892116183;0.3511785892116183
Russia;Denmark;B;1;4;-0.09544708950800235;0.09544708950800235
Finland;Belgium;B;0;2;-0.5974623829282751;0.5974623829282751
Austria;North Macedonia;C;3;1;0.20815283935981033;-0.20815283935981033
Netherlands;Ukraine;C;3;2;0.38359850622406644;-0.38359850622406644
Ukraine;North Macedonia;C;2;1;0.0822731950207469;-0.0822731950207469
Netherlands;Austria;C;2;0;0.257718861885003;-0.257718861885003
North Macedonia;Netherlands;C;0;3;-0.4658717012448133;0.4658717012448133
Ukraine;Austria;C;0;1;-0.12587964433906343;0.12587964433906343
England;Croatia;D;1;0;0.6480029164196799;-0.6480029164196799
Scotland;Czech Republic;D;0;2;0.11957451096621222;-0.11957451096621222
Croatia;Czech Republic;D;1;1;0.21955729697688206;-0.21955729697688206
England;Scotland;D;0;0;0.7479857024303497;-0.7479857024303497
Croatia;Scotland;D;3;1;0.09998278601066984;-0.09998278601066984
Czech Republic;England;D;0;1;-0.8675602133965619;0.8675602133965619
Poland;Slovakia;E;1;2;0.08573749851807942;-0.08573749851807942
Spain;Sweden;E;0;0;0.6444270776526377;-0.6444270776526377
Sweden;Slovakia;E;1;0;0.05052590397154712;-0.05052590397154712
Spain;Poland;E;1;1;0.6092154831061055;-0.6092154831061055
Slovakia;Spain;E;0;5;-0.694952981624185;0.694952981624185
Sweden;Poland;E;3;2;-0.035211594546532304;0.035211594546532304
Hungary;Portugal;F;0;3;-0.6728275044457618;0.6728275044457618
France;Germany;F;1;0;0.1449698399525785;-0.1449698399525785
Hungary;France;F;1;1;-0.9562339537640783;0.9562339537640783
Portugal;Germany;F;2;4;-0.13843660936573798;0.13843660936573798
Portugal;France;F;2;2;-0.2834064493183165;0.2834064493183165
Germany;Hungary;F;2;2;0.8112641138114998;-0.8112641138114998
Wales;Denmark;;0;4;-0.09738686425607584;0.09738686425607584
Italy;Austria;;2;1;0.38464578541790156;-0.38464578541790156
Netherlands;Czech Republic;;0;2;0.4209099703615886;-0.4209099703615886
Belgium;Portugal;;1;0;-0.0831585062240664;0.0831585062240664
Croatia;Spain;;3;5;-0.4962350207468879;0.4962350207468879
France;Switzerland;;3;3;0.7480881564908122;-0.7480881564908122
England;Germany;;2;0;0.11234563129816233;-0.11234563129816233
Sweden;Ukraine;;1;2;0.03405377593360995;-0.03405377593360995
Switzerland;Spain;;1;1;-0.5636960521636041;0.5636960521636041
Belgium;Italy;;1;2;-0.014217427385892045;0.014217427385892045
Czech Republic;Denmark;;1;2;-0.18244087729697686;0.18244087729697686
Ukraine;England;;0;4;-0.8302487492590397;0.8302487492590397
Italy;Spain;;1;1;-0.16795542382928275;0.16795542382928275
England;Denmark;;2;1;0.6851193360995851;-0.6851193360995851
Italy;England;;1;1;-0.31972331950207467;0.31972331950207467
