team1;team2;group;team1_goals;team2_goals;team1_market_value_distance;team2_market_value_distance
Italy;Turkey;A;3;0;0.38546556016597505;-0.38546556016597505
Switzerland;Wales;A;1;1;0.06704225251926493;-0.06704225251926493
Wales;Turkey;A;2;0;-0.07731732068761116;0.07731732068761116
Switzerland;Italy;A;0;3;-0.3957406283343213;0.3957406283343213
Turkey;Switzerland;A;1;3;0.010275068168346224;-0.010275068168346224
Wales;Italy;A;0;1;-0.4627828808535862;0.4627828808535862
Finland;Denmark;B;1;0;-0.24628379371665676;0.24628379371665676
Russia;Belgium;B;0;3;-0.44662567871962067;0.44662567871962067
Russia;Finland;B;1;0;0.15083670420865442;-0.15083670420865442
Belgium;Denmark;B;2;1;0.3511785892116183;-0.3511785892116183
Denmark;Russia;B;4;1;0.09544708950800235;-0.09544708950800235
Belgium;Finland;B;2;0;0.5974623829282751;-0.5974623829282751
North Macedonia;Austria;C;1;3;-0.20815283935981033;0.20815283935981033
Ukraine;Netherlands;C;2;3;-0.38359850622406644;0.38359850622406644
North Macedonia;Ukraine;C;1;2;-0.0822731950207469;0.0822731950207469
Austria;Netherlands;C;0;2;-0.257718861885003;0.257718861885003
Netherlands;North Macedonia;C;3;0;0.4658717012448133;-0.4658717012448133
Austria;Ukraine;C;1;0;0.12587964433906343;-0.12587964433906343
Croatia;England;D;0;1;-0.6480029164196799;0.6480029164196799
Czech Republic;Scotland;D;2;0;-0.11957451096621222;0.11957451096621222
Czech Republic;Croatia;D;1;1;-0.21955729697688206;0.21955729697688206
Scotland;England;D;0;0;-0.7479857024303497;0.7479857024303497
Scotland;Croatia;D;1;3;-0.09998278601066984;0.09998278601066984
England;Czech Republic;D;1;0;0.8675602133965619;-0.8675602133965619
Slovakia;Poland;E;2;1;-0.08573749851807942;0.08573749851807942
Sweden;Spain;E;0;0;-0.6444270776526377;0.6444270776526377
Slovakia;Sweden;E;0;1;-0.05052590397154712;0.05052590397154712
Poland;Spain;E;1;1;-0.6092154831061055;0.6092154831061055
Spain;Slovakia;E;5;0;0.694952981624185;-0.694952981624185
Poland;Sweden;E;2;3;0.035211594546532304;-0.035211594546532304
Portugal;Hungary;F;3;0;0.6728275044457618;-0.6728275044457618
Germany;France;F;0;1;-0.1449698399525785;0.1449698399525785
France;Hungary;F;1;1;0.9562339537640783;-0.9562339537640783
Germany;Portugal;F;4;2;0.13843660936573798;-0.13843660936573798
France;Portugal;F;2;2;0.2834064493183165;-0.2834064493183165
Hungary;Germany;F;2;2;-0.8112641138114998;0.8112641138114998
Denmark;Wales;;4;0;0.09738686425607584;-0.09738686425607584
Austria;Italy;;1;2;-0.38464578541790156;0.38464578541790156
Czech Republic;Netherlands;;2;0;-0.4209099703615886;0.4209099703615886
Portugal;Belgium;;0;1;0.0831585062240664;-0.0831585062240664
Spain;Croatia;;5;3;0.4962350207468879;-0.4962350207468879
Switzerland;France;;3;3;-0.7480881564908122;0.7480881564908122
Germany;England;;0;2;-0.11234563129816233;0.11234563129816233
Ukraine;Sweden;;2;1;-0.03405377593360995;0.03405377593360995
Spain;Switzerland;;1;1;0.5636960521636041;-0.5636960521636041
Italy;Belgium;;2;1;0.014217427385892045;-0.014217427385892045
Denmark;Czech Republic;;2;1;0.18244087729697686;-0.18244087729697686
England;Ukraine;;4;0;0.8302487492590397;-0.8302487492590397
Spain;Italy;;1;1;0.16795542382928275;-0.16795542382928275
Denmark;England;;1;2;-0.6851193360995851;0.6851193360995851
England;Italy;;1;1;0.31972331950207467;-0.31972331950207467
Turkey;Italy;A;0;3;-0.38546556016597505;0.38546556016597505
Wales;Switzerland;A;1;1;-0.06704225251926493;0.06704225251926493
Turkey;Wales;A;0;2;0.07731732068761116;-0.07731732068761116
Italy;Switzerland;A;3;0;0.3957406283343213;-0.3957406283343213
Switzerland;Turkey;A;3;1;-0.010275068168346224;0.010275068168346224
