team1_goals;team2_goals;market_value_distance
3;0;0.38546556016597505
1;1;0.06704225251926493
2;0;-0.07731732068761116
0;3;-0.3957406283343213
1;3;0.010275068168346224
0;1;-0.4627828808535862
1;0;-0.24628379371665676
0;3;-0.44662567871962067
1;0;0.15083670420865442
2;1;0.3511785892116183
4;1;0.09544708950800235
2;0;0.5974623829282751
1;3;-0.20815283935981033
2;3;-0.38359850622406644
1;2;-0.0822731950207469
0;2;-0.257718861885003
3;0;0.4658717012448133
1;0;0.12587964433906343
0;1;-0.6480029164196799
2;0;-0.11957451096621222
1;1;-0.21955729697688206
0;0;-0.7479857024303497
1;3;-0.09998278601066984
1;0;0.8675602133965619
2;1;-0.08573749851807942
0;0;-0.6444270776526377
0;1;-0.05052590397154712
1;1;-0.6092154831061055
5;0;0.694952981624185
2;3;0.035211594546532304
3;0;0.6728275044457618
0;1;-0.1449698399525785
1;1;0.9562339537640783
4;2;0.13843660936573798
2;2;0.2834064493183165
2;2;-0.8112641138114998
4;0;0.09738686425607584
1;2;-0.38464578541790156
2;0;-0.4209099703615886
0;1;0.0831585062240664
5;3;0.4962350207468879
3;3;-0.7480881564908122
0;2;-0.11234563129816233
2;1;-0.03405377593360995
1;1;0.5636960521636041
2;1;0.014217427385892045
2;1;0.18244087729697686
4;0;0.8302487492590397
1;1;0.16795542382928275
1;2;-0.6851193360995851
1;1;0.31972331950207467
0;3;-0.38546556016597505
1;1;-0.06704225251926493
0;2;0.07731732068761116
3;0;0.3957406283343213
3;1;-0.010275068168346224
1;0;0.4627828808535862
0;1;0.24628379371665676
3;0;0.44662567871962067
0;1;-0.15083670420865442
1;2;-0.3511785892116183
1;4;-0.09544708950800235
0;2;-0.5974623829282751
3;1;0.20815283935981033
3;2;0.38359850622406644
2;1;0.0822731950207469
2;0;0.257718861885003
0;3;-0.4658717012448133
0;1;-0.12587964433906343
1;0;0.6480029164196799
0;2;0.11957451096621222
1;1;0.21955729697688206
0;0;0.7479857024303497
3;1;0.09998278601066984
0;1;-0.8675602133965619
1;2;0.08573749851807942
0;0;0.6444270776526377
1;0;0.05052590397154712
1;1;0.6092154831061055
0;5;-0.694952981624185
3;2;-0.035211594546532304
0;3;-0.6728275044457618
1;0;0.1449698399525785
1;1;-0.9562339537640783
2;4;-0.13843660936573798
2;2;-0.2834064493183165
2;2;0.8112641138114998
0;4;-0.09738686425607584
2;1;0.38464578541790156
0;2;0.4209099703615886
1;0;-0.0831585062240664
3;5;-0.4962350207468879
3;3;0.7480881564908122
2;0;0.11234563129816233
1;2;0.03405377593360995
1;1;-0.5636960521636041
1;2;-0.014217427385892045
1;2;-0.18244087729697686
0;4;-0.8302487492590397
1;1;-0.16795542382928275
2;1;0.6851193360995851
1;1;-0.31972331950207467
